Date,Basal energy burned(Cal),Active energy burned(Cal),Distance walking / running(mi),Exercise time(min),Flights climbed(count),Heart rate(count/min),Resting heart rate(count/min),Stand time(min),Step count(count),Walking heart rate average(count/min)
4/10/2024,1628.522,418.387,3.472,42,19,80.124,64,90,7815.06,105
4/11/2024,1621.619,435.37,4.119,48,28,85.201,64,103,9388,99
4/12/2024,1651.509,539.524,5.558,34,20,76.391,64,174,12723,101
4/13/2024,1636.938,315.966,1.893,22,14,77.3,64,38,4259,115
4/14/2024,1627.318,435.322,3.404,31,18,86.494,66,131,7539.999,127
4/15/2024,1623.968,314.626,2.533,25,12,82.843,67,76,5839.491,104.5
4/16/2024,1629.413,408.493,3.235,44,37,76.248,69,76,7248.203,101
4/17/2024,1341.278,325.788,3.064,35,23,78.018,65,79,6888.509,107.5
